,KWH
639,3160
640,22424
641,15944
642,6222
643,14869
644,23633
645,10352
646,8319
647,9305
648,8807
649,9752
650,23649
651,4182
652,11986
653,2087
654,5781
655,19243
656,13438
657,2725
658,7748
659,7776
660,8779
661,10809
662,3041
663,1187
664,9837
665,15074
666,10037
667,3499
668,13827
669,6885
670,10761
671,13667
672,3463
673,28935
674,5345
675,12501
676,4773
677,7904
678,3449
679,13502
680,25907
681,3115
682,15497
683,7407
684,17002
685,11575
686,3943
687,16768
688,10242
689,45837
690,4471
691,4153
692,8054
693,14798
694,29667
695,50566
696,11397
697,2393
698,2693
699,9106
700,9916
701,8892
702,11897
703,3310
704,7825
705,14768
706,8775
707,7425
708,4404
709,8469
710,14835
711,11717
712,2572
713,764
714,8909
715,10360
716,7070
717,19271
718,10019
719,6796
720,8205
721,7058
722,24271
723,15370
724,7382
725,7333
726,3203
727,4119
728,2045
729,23453
730,2334
731,17540
732,2256
733,18779
734,9575
735,23630
736,5448
737,22742
738,16758
739,10222
740,19060
741,10910
742,3633
743,29360
744,15941
745,4113
746,25087
747,20666
748,19200
749,12568
750,8581
751,5792
752,11682
753,11158
754,11765
755,3021
756,11014
757,36433
758,16980
759,4278
760,15855
761,2301
762,3070
763,7242
764,9994
765,21335
766,17925
767,4634
768,5196
769,12674
770,7525
771,19823
772,4530
773,14616
774,2651
775,18089
776,15684
777,8104
778,3955
779,15387
780,5795
781,8106
782,3244
783,6997
784,7461
785,6451
786,5826
787,2099
788,7027
789,10985
790,11033
791,2962
792,10833
793,7896
794,9713
795,11986
796,4991
797,14017
798,6563
799,21321
800,13656
801,3910
802,7323
803,30061
804,18869
805,13160
806,11295
807,10167
808,5268
809,7381
810,8736
811,9545
812,7341
813,13582
814,2875
815,4923
816,13789
817,18317
818,15863
819,4573
820,14117
821,19352
822,3566
823,3339
824,12493
825,16246
826,3750
827,8426
828,2419
829,17948
830,1974
831,18893
832,17907
833,3306
834,11087
835,10477
836,3882
837,11476
838,22076
839,6959
840,12853
841,11086
842,9123
843,22660
844,13663
845,6621
846,24513
847,21234
848,3354
849,12722
850,5133
851,17880
852,5883
853,4268
854,12995
855,10311
856,2531
857,9093
858,9283
859,20843
860,13645
861,9165
862,6354
863,7823
864,4529
865,4171
866,8279
867,10719
868,23001
869,7008
870,15445
871,6202
872,9129
873,8397
874,29569
875,8890
876,7637
877,14625
878,6198
879,10558
880,12792
881,4426
882,13086
883,11297
884,11233
885,14759
886,17984
887,9054
888,8305
889,4542
890,19038
891,20316
892,1081
893,20896
894,5620
895,17383
896,24212
897,11230
898,22587
899,23275
900,7175
901,10488
902,5957
903,9429
904,4843
905,7706
906,11137
907,13873
908,8187
909,15578
910,16172
911,11254
912,5598
913,48926
914,9398
915,41373
916,5982
917,24285
918,4852
919,2413
920,15552
921,1308
922,1119
923,4992
924,4801
925,4840
926,14706
927,5321
928,13031
929,5236
930,9649
931,17102
932,24387
933,16249
934,14996
935,11599
936,2900
937,6883
938,9560
939,20500
940,2869
941,14019
942,13531
943,55857
944,7037
945,18450
946,4500
947,24586
948,3643
949,15762
950,4947
951,5513
952,4606
953,13502
954,15589
955,5751
956,10226
957,20770
958,14017
959,5523
960,11321
961,701
962,10232
963,30686
964,22261
965,13717
966,10682
967,15923
968,8587
969,6988
970,14345
971,7219
972,8177
973,37580
974,9402
975,16092
976,12557
977,8357
978,5846
979,10602
980,14284
981,13439
982,2630
983,5131
984,13006
985,5239
986,21410
987,10199
988,5068
989,4038
990,6935
991,12139
992,4365
993,18139
994,10409
995,11327
996,44225
997,8251
998,12368
999,4407
1000,4798
1001,21228
1002,7249
1003,7515
1004,9059
1005,2317
1006,21916
1007,7283
1008,10938
1009,6473
1010,10991
1011,4575
1012,21676
1013,10844
1014,5545
1015,12262
1016,14903
1017,5666
1018,15054
1019,23972
1020,9745
1021,5460
1022,26704
1023,11204
1024,4845
1025,2145
1026,20889
1027,13546
1028,5664
1029,11867
1030,4396
1031,26169
1032,13452
1033,5002
1034,3602
1035,1731
1036,3389
1037,5549
1038,24775
1039,17037
1040,4998
1041,1280
1042,3161
1043,5836
1044,5628
1045,2517
1046,6958
1047,11618
1048,10799
1049,6751
1050,7738
1051,20031
1052,39346
1053,8703
1054,5819
1055,25560
1056,11327
1057,5371
1058,5617
1059,3985
1060,3308
1061,6804
1062,4960
1063,2885
1064,12010
1065,11219
1066,7257
1067,5025
1068,4801
1069,2392
1070,9857
1071,3997
1072,12747
1073,10578
1074,21715
1075,5752
1076,23796
1077,33424
1078,16027
1079,25861
1080,19303
1081,14424
