,NWEIGHT
340,11324.4836
341,6822.463478
342,8229.296182
343,20518.26372
344,13336.62501
345,8244.448017
346,9263.2658
347,11211.02148
348,10310.20898
349,7925.487488
350,15440.36353
351,6004.190609
352,16137.472580000001
353,4751.97153
354,17230.62976
355,5878.402171
356,3514.9028350000003
357,32289.609139999997
358,4786.032590999999
359,12550.17348
360,24713.865569999998
361,7620.191208
362,4811.736871
363,3958.3150880000003
364,2913.735411
365,7477.875414
366,9263.265379999999
367,6297.039296
368,7093.982572
369,3409.6793450000005
370,6589.139263
371,15213.44016
372,3991.10201
373,4451.914796999999
374,4697.21358
375,5756.093220000001
376,6136.08309
377,7960.927637999999
378,8370.107561
379,8542.973786
380,8280.145041
381,4109.169863
382,5629.098822
383,7703.426315000001
384,2778.259042
385,9131.566421
386,6996.1309870000005
387,7169.306659000001
388,22653.798919999997
389,4020.1876350000002
390,15623.26568
391,5929.235399
392,13175.740670000001
393,9383.080091
394,14390.541619999998
395,7562.498765
396,7577.542454
397,2673.735512
398,7834.501628
399,6900.591490000001
400,6321.640275
401,7489.171687000001
402,18003.641340000002
403,6460.617842000001
404,8050.406233
405,6297.038269
406,8244.076943
407,29823.055360000002
408,10813.55018
409,4702.477571
410,15489.576630000001
411,4473.185336
412,9516.479337
413,8596.257242
414,3991.101517
415,7264.468905
416,5315.875133
417,7872.637464
418,8416.447488
419,14313.586440000001
420,6424.1405509999995
421,13175.74488
422,7190.390209
423,5562.511599
424,6297.036345
425,21908.18122
426,12746.721379999999
427,5543.5702329999995
428,3329.68971
429,9643.290287
430,4193.99283
431,6054.970716
432,5104.172954
433,8877.690209999999
434,15220.058369999999
435,3912.8743229999995
436,9620.352474
437,10143.15441
438,10545.00029
439,10922.75117
440,6576.850404
441,6466.420768
442,12550.17657
443,7553.7276870000005
444,18749.33252
445,4724.460469
446,5991.046139
447,18832.40208
448,19914.71051
449,6989.0959060000005
450,23678.57077
451,4767.977755
452,6821.063931999999
453,7203.059716
454,7549.589985
455,8218.568157
456,3575.319619
457,4939.306712
458,5991.046267000001
459,7951.522023
460,9327.159291
461,13971.395180000001
462,9155.042475
463,10870.81172
464,7110.941537000001
465,7530.2470459999995
466,5463.406615999999
467,8962.096579000001
468,20030.17854
469,6989.095381
470,10329.367740000002
471,8709.707154000002
472,12606.001559999999
473,6608.635138000001
474,8458.371946
475,6792.476205
476,8064.032465
477,25503.160509999998
478,6004.190023
479,4197.3401460000005
480,4419.485772
481,7764.9709299999995
482,13181.17671
483,3715.506415
484,9706.557432
485,7420.937354000001
486,11979.39582
487,10491.683140000001
488,21982.09247
489,10491.683140000001
490,4197.340614
491,4318.418173
492,8605.814245
493,5983.012764
494,6814.269529000001
495,16020.974030000001
496,3878.334972
497,11578.19645
498,2814.877932
499,2673.735491
500,2599.855772
501,4232.486002000001
502,9160.891295
503,6912.436589
504,6153.583202000001
505,6589.139343
506,13175.74488
507,6466.419892
508,9986.66279
509,3909.177464
510,8067.488595000001
511,7196.636627
512,10673.15928
513,6506.70529
514,11549.06868
515,12752.39597
516,10878.43483
517,10155.38647
518,10910.10279
519,8289.577237000001
520,17254.58133
521,11330.02277
522,13711.042730000001
523,17342.2619
524,7489.17049
525,5694.141301
526,10651.14449
527,31665.03368
528,5334.306058
529,8639.693554000001
530,10651.14449
531,11306.453459999999
532,7537.759795
533,5006.5653090000005
534,5512.60395
535,7549.589095
536,4689.642745
537,13035.566490000001
538,4184.87502
539,11691.1312
540,9642.914548
541,5211.538743
542,2913.735321
543,13711.042930000001
544,7136.883253
545,23965.424030000002
546,18696.45129
547,6113.882882
548,7549.5887299999995
549,2993.3392440000002
550,16137.47181
551,5727.71133
552,4109.170034000001
553,14025.73591
554,21080.95087
555,4388.979375
556,8318.453759
557,7718.018361
558,4646.97555
559,8740.224662999999
560,7465.211323
561,12321.915070000001
562,39377.61234
563,7788.024072
564,1518.9724199999998
565,7553.727507
566,9760.392455
567,2599.855909
568,4702.478133
569,7264.469778
570,7327.227257
571,16137.4752
572,15676.373
573,5890.266618
574,4336.079605
575,5629.098617000001
576,6905.038151000001
577,7164.33051
578,4193.99283
579,9750.443796
580,14076.752559999999
581,6373.546018999999
582,10576.37335
583,10270.16157
584,7794.398559
585,2673.735532
586,4232.486975
587,7497.947011
588,5177.541197
589,4751.971827
590,6297.038661
591,14918.46089
592,11508.38033
593,4697.213286
594,7136.883623000001
595,2778.258809
596,6532.1259549999995
597,16137.47805
598,3909.176878
599,16951.04025
600,4132.534512
601,8122.516532
602,6931.950231
603,5616.942592
604,6612.767502000001
605,7549.589569
606,10122.05596
607,6905.036644
608,4346.731657
609,8878.279956
610,10305.79323
611,10858.461000000001
612,18832.41345
613,5543.570211
614,4156.8375
615,12550.17777
616,11330.023459999999
617,4751.9715590000005
618,7489.172112
619,7735.777982
620,10423.07692
621,10762.53055
622,6858.53347
623,8484.742268
624,9972.499881
625,12550.176140000001
626,6540.321022
627,5518.190193
628,7229.757240999999
629,10207.47525
630,6527.519434000001
631,9026.477422
632,5191.67793
633,6449.746399000001
634,2691.161861
635,7264.470670000001
636,7727.972079000001
637,7442.406292000001
638,10845.18899
639,7553.72824
640,10352.141370000001
641,4697.213720000001
642,3402.57345
643,6054.970805
644,6905.03656
645,3912.874429
646,8393.980242
647,8236.300068
648,5371.22192
649,9645.294241
650,15966.07035
651,18655.69264
652,11330.02277
653,7169.306281
654,4197.340707
655,5524.681087
656,3901.342125
657,9336.471156
658,7093.982655
659,6737.905156999999
660,13370.88898
661,4751.971561
662,10321.4139
663,9121.978994
664,17056.49695
665,4912.402876
666,14727.3484
667,9179.821031
668,5795.557462
669,4751.971697999999
670,9396.765589
671,4286.301057
672,6267.576835
673,6054.971899
674,9431.331476000001
675,13602.36388
676,8487.076443
677,7169.306732999999
678,7140.036571
679,7756.869184
680,10249.22564
681,29353.05277
682,14226.58915
683,4929.406213
684,9323.803572
685,11284.71724
686,6552.252988
